names	vc	vc1-9	givenName	blockAm	colClust	congestion	pointAmVert	prtAllSizeN	quadBig	quadSmall	rosen	salObjNum	singleSizeDom	symmetry	whiteSpace
http___www.mandragora.it.png	-0.170669265357318	4.84449852799039	1976222553.png	18	10	0.88253	30	13	0.058492	17.7816	4.0138	10	0.24248	3.1213	0.43903
http___www.manifestolibri.it.png	0.19296557254725	5.38018971795623	2926222553.png	15	8	0.84063	38	14	0.052134	26.7944	5.9803	4	0.15833	1.9048	0.51095
http___www.mannieditori.it.png	0.531208592527948	5.87847477478748	5136222553.png	24	11	0.9061	39	6	0.020345	25.6844	5.6324	5	0.55498	4.3032	0.20122
http___www.marchettieditore.it.png	0.222741680076984	5.42405459780952	8606222553.png	14	18	0.7834	30	6	0.043233	28.2262	5.9537	2	0.44226	4.4276	0.28481
http___www.marsilioeditori.it.png	-0.186160249352876	4.82167787720197	8576222554.png	5	14	0.80876	15	5	0.050863	25.6856	4.9632	7	0.74038	1.8862	0.25738
http___www.masson.it.png	-0.155689447300396	4.86656615112195	7386222554.png	17	16	0.85311	38	12	0.063578	17.4739	3.6541	5	0.1774	5.0626	0.43077
http___www.meltemieditore.it.png	1.03077774670828	6.61441854798372	6706222554.png	27	11	0.90149	43	11	0.034332	34.2344	7.6899	9	0.41677	5.3428	0.24596
http___www.meridianozero.it.png	0.228149377264402	5.43202098452317	3426222554.png	13	8	0.79013	26	11	0.033061	29.6618	6.4302	6	0.25327	2.4552	0.33003
http___www.mess-s-antonio.it.png	0.531246998328939	5.87853135256027	3216222554.png	5	18	0.90843	26	5	0.049591	31.6989	6.4323	8	0.71557	4.0318	0.13625
http___www.metauroedizioni.it.png	-0.647653742862492	4.14182552827895	5496222555.png	7	6	0.89064	17	7	0.062307	21.6599	3.6789	3	0.36416	3.9124	0.46609
http___www.morcelliana.it.png	-0.714206121000113	4.0437834296587	4696222555.png	9	6	0.61613	36	8	0.073751	15.021	3.2964	8	0.28613	1.6029	0.54029
http___www.mottaeditore.it.png	-1.6664983967333	2.64090744197165	546222555.png	2	6	0.60087	8	4	0.078837	10.0021	2.145	3	0.24305	0.98682	0.6114
http___www.nardinieditore.it.png	0.858708253163441	6.36093317709623	336222556.png	14	17	0.85245	44	11	0.010173	29.5715	5.9438	4	0.36569	3.7806	0.19341
http___www.neripozza.it.png	0.938295180041776	6.47817721182859	4576222556.png	17	17	0.88103	37	9	0.015259	33.8542	7.3242	3	0.28622	6.5908	0.26966
http___www.ninoaragnoeditore.it.png	0.347184472311512	5.60737836249315	9956222557.png	7	12	0.93049	27	7	0.033061	28.8607	6.2697	3	0.72512	2.4369	0.14735
http___www.novecentolibri.it.png	-0.445442456538886	4.43971449078712	9236222559.png	6	6	0.66966	17	6	0.068665	26.4308	6.5988	5	0.47898	2.639	0.33717
http___www.nuoveedizioniromane.it.png	0.111491759762517	5.26016600413054	2466222560.png	13	15	0.86851	27	8	0.063578	26.7131	6.108	5	0.24907	1.1216	0.49334
http___www.olschki.it.png	-0.9072762579559	3.75936081490401	996222560.png	17	8	0.79364	38	9	0.097911	13.4862	2.3477	3	0.35683	2.438	0.38397
http___www.otto.to.it.png	-0.622942239962927	4.17822945060497	6846222561.png	4	22	0.58743	17	2	0.078837	18.6933	4.0579	9	0.77543	2.1253	0.2132
http___www.ottolibri.it.png	-0.191874759533308	4.81325950679426	4036222561.png	10	13	0.81948	25	7	0.043233	20.5447	4.4086	5	0.45752	2.47	0.24864
http___www.palladioeditrice.it.png	-0.252988241368671	4.72322975608062	3906222563.png	10	9	0.84242	43	7	0.094096	21.0635	4.8158	4	0.39623	2.6535	0.46244
http___www.palombieditori.it.png	-0.350768937995692	4.57918344293402	3896222564.png	36	13	0.87128	46	10	0.086466	15.7	2.9998	4	0.14323	3.2712	0.47254
